"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "Python", "TypeScript JSX", "PostCSS", "MS SQL", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_cms\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ibrahim\Downloads\zero_cms\.github\prompts\kural.prompt.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 47, 114
"c:\Users\ibrahim\Downloads\zero_cms\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 7, 21, 246
"c:\Users\ibrahim\Downloads\zero_cms\app\admin2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 3, 11, 358
"c:\Users\ibrahim\Downloads\zero_cms\app\admin\admin2-user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"c:\Users\ibrahim\Downloads\zero_cms\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2776, 0, 0, 0, 0, 115, 175, 3066
"c:\Users\ibrahim\Downloads\zero_cms\app\api\admin-users\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\admin2-log\route.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\ibrahim\Downloads\zero_cms\app\api\blog-posts\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\brands\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\faq\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\messages\route.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\ibrahim\Downloads\zero_cms\app\api\prices\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\quote\route.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 8, 60
"c:\Users\ibrahim\Downloads\zero_cms\app\api\services\route.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 3, 8, 63
"c:\Users\ibrahim\Downloads\zero_cms\app\api\services\screen-types\route.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\ibrahim\Downloads\zero_cms\app\api\site-settings\route.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 3, 44
"c:\Users\ibrahim\Downloads\zero_cms\app\api\testimonials\route.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 11, 54
"c:\Users\ibrahim\Downloads\zero_cms\app\api\tv-models\route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_cms\app\api\upload\route.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\ibrahim\Downloads\zero_cms\app\aydinlatma-metni\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 2, 89
"c:\Users\ibrahim\Downloads\zero_cms\app\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
"c:\Users\ibrahim\Downloads\zero_cms\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 4, 7, 134
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\altus\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\altus\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\arcelik\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\arcelik\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
