Date : 2025-07-23 09:16:41
Directory : c:\Users\ibrahim\Downloads\zero_cms
Total : 558 files,  125725 codes, 4137 comments, 7354 blanks, all 137216 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        495 |    104,939 |      4,045 |      7,046 |    116,030 |
| JSON               |         16 |     16,911 |          0 |          3 |     16,914 |
| XML                |         11 |      1,420 |         41 |         29 |      1,490 |
| JavaScript         |          9 |      1,184 |         17 |         69 |      1,270 |
| TypeScript         |         20 |        815 |         18 |        116 |        949 |
| PostCSS            |          2 |        247 |          0 |         26 |        273 |
| MS SQL             |          1 |        104 |         16 |         13 |        133 |
| Markdown           |          1 |         67 |          0 |         47 |        114 |
| JSON with Comments |          2 |         30 |          0 |          2 |         32 |
| Python             |          1 |          8 |          0 |          3 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        558 |    125,725 |      4,137 |      7,354 |    137,216 |
| . (Files)                                                                                |         17 |      8,544 |         19 |         84 |      8,647 |
| .github                                                                                  |          1 |         67 |          0 |         47 |        114 |
| .github\prompts                                                                          |          1 |         67 |          0 |         47 |        114 |
| app                                                                                      |        453 |    100,380 |      3,967 |      6,524 |    110,871 |
| app (Files)                                                                              |          3 |        382 |          5 |         36 |        423 |
| app\about                                                                                |          1 |        218 |          7 |         21 |        246 |
| app\admin                                                                                |          2 |      2,829 |        115 |        179 |      3,123 |
| app\admin (Files)                                                                        |          1 |      2,776 |        115 |        175 |      3,066 |
| app\admin2                                                                               |          1 |        344 |          3 |         11 |        358 |
| app\admin\admin2-user                                                                    |          1 |         53 |          0 |          4 |         57 |
| app\api                                                                                  |         14 |        487 |          9 |         65 |        561 |
| app\api\admin-users                                                                      |          1 |         24 |          0 |          3 |         27 |
| app\api\admin2-log                                                                       |          1 |         35 |          2 |          4 |         41 |
| app\api\blog-posts                                                                       |          1 |         24 |          0 |          3 |         27 |
| app\api\brands                                                                           |          1 |         24 |          0 |          3 |         27 |
| app\api\faq                                                                              |          1 |         24 |          0 |          3 |         27 |
| app\api\messages                                                                         |          1 |         69 |          0 |          5 |         74 |
| app\api\prices                                                                           |          1 |         24 |          0 |          3 |         27 |
| app\api\quote                                                                            |          1 |         51 |          1 |          8 |         60 |
| app\api\services                                                                         |          2 |         83 |          3 |         11 |         97 |
| app\api\services (Files)                                                                 |          1 |         52 |          3 |          8 |         63 |
| app\api\services\screen-types                                                            |          1 |         31 |          0 |          3 |         34 |
| app\api\site-settings                                                                    |          1 |         40 |          1 |          3 |         44 |
| app\api\testimonials                                                                     |          1 |         42 |          1 |         11 |         54 |
| app\api\tv-models                                                                        |          1 |         24 |          0 |          3 |         27 |
| app\api\upload                                                                           |          1 |         23 |          1 |          5 |         29 |
| app\aydinlatma-metni                                                                     |          1 |         87 |          0 |          2 |         89 |
| app\blog                                                                                 |          2 |        155 |          5 |          9 |        169 |
| app\blog (Files)                                                                         |          1 |        123 |          4 |          7 |        134 |
| app\blog\[id]                                                                            |          1 |         32 |          1 |          2 |         35 |
| app\brands                                                                               |        242 |     51,372 |      2,135 |      3,245 |     56,752 |
| app\brands (Files)                                                                       |          1 |         47 |          1 |          7 |         55 |
| app\brands\altus                                                                         |          2 |        246 |         14 |         12 |        272 |
| app\brands\altus (Files)                                                                 |          1 |        230 |         14 |          9 |        253 |
| app\brands\altus\[model]                                                                 |          1 |         16 |          0 |          3 |         19 |
| app\brands\arcelik                                                                       |          2 |        246 |         14 |         12 |        272 |
| app\brands\arcelik (Files)                                                               |          1 |        230 |         14 |          9 |        253 |
| app\brands\arcelik\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\awox                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\awox (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\awox\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\axen                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\axen (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\axen\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\beko                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\beko (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\beko\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\botech                                                                        |          2 |        246 |         14 |         12 |        272 |
| app\brands\botech (Files)                                                                |          1 |        230 |         14 |          9 |        253 |
| app\brands\botech\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\brands\dijitsu                                                                       |          2 |        246 |         14 |         12 |        272 |
| app\brands\dijitsu (Files)                                                               |          1 |        230 |         14 |          9 |        253 |
| app\brands\dijitsu\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\elton                                                                         |          2 |        246 |         14 |         12 |        272 |
| app\brands\elton (Files)                                                                 |          1 |        230 |         14 |          9 |        253 |
| app\brands\elton\[model]                                                                 |          1 |         16 |          0 |          3 |         19 |
| app\brands\fenoti                                                                        |          2 |        246 |         14 |         12 |        272 |
| app\brands\fenoti (Files)                                                                |          1 |        230 |         14 |          9 |        253 |
| app\brands\fenoti\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\brands\finlux                                                                        |          2 |        246 |         14 |         12 |        272 |
| app\brands\finlux (Files)                                                                |          1 |        230 |         14 |          9 |        253 |
| app\brands\finlux\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\brands\grundig                                                                       |          2 |        246 |         14 |         12 |        272 |
| app\brands\grundig (Files)                                                               |          1 |        230 |         14 |          9 |        253 |
| app\brands\grundig\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\hi-level                                                                      |          2 |        246 |         14 |         12 |        272 |
| app\brands\hi-level (Files)                                                              |          1 |        230 |         14 |          9 |        253 |
| app\brands\hi-level\[model]                                                              |          1 |         16 |          0 |          3 |         19 |
| app\brands\hisense                                                                       |          2 |         64 |          0 |          7 |         71 |
| app\brands\hisense (Files)                                                               |          1 |         48 |          0 |          4 |         52 |
| app\brands\hisense\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\hyundai                                                                       |          2 |        246 |         14 |         12 |        272 |
| app\brands\hyundai (Files)                                                               |          1 |        230 |         14 |          9 |        253 |
| app\brands\hyundai\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\jvc                                                                           |          2 |        246 |         14 |         12 |        272 |
| app\brands\jvc (Files)                                                                   |          1 |        230 |         14 |          9 |        253 |
| app\brands\jvc\[model]                                                                   |          1 |         16 |          0 |          3 |         19 |
| app\brands\lg                                                                            |         42 |     10,606 |        408 |        699 |     11,713 |
| app\brands\lg (Files)                                                                    |          1 |        231 |          4 |         10 |        245 |
| app\brands\lg\[model]                                                                    |          1 |         16 |          0 |          3 |         19 |
| app\brands\lg\istanbul                                                                   |         40 |     10,359 |        404 |        686 |     11,449 |
| app\brands\lg\istanbul (Files)                                                           |          1 |        336 |         14 |         23 |        373 |
| app\brands\lg\istanbul\adalar                                                            |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\arnavutkoy                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\atasehir                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\avcilar                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\bagcilar                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\bahcelievler                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\bakirkoy                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\basaksehir                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\bayrampasa                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\besiktas                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\beykoz                                                            |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\beylikduzu                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\beyoglu                                                           |          1 |        257 |         10 |         17 |        284 |
