"filename", "language", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\arcelik\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 3, 11
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\arcelik\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\awox\[model]\page.tsx", "TypeScript JSX", 0, -9, 1, 0, -8
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\awox\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\axen\[model]\page.tsx", "TypeScript JSX", 0, -9, 1, 1, -7
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\axen\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\beko\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\beko\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\botech\[model]\page.tsx", "TypeScript JSX", 0, -9, 1, 2, -6
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\botech\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\finlux\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\finlux\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\grundig\[model]\page.tsx", "TypeScript JSX", 0, -1, 0, 0, -1
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\grundig\page.tsx", "TypeScript JSX", 0, 7, 1, 2, 10
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\hi-level\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\hisense\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\hisense\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\jvc\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\lg\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\lg\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\next\[model]\page.tsx", "TypeScript JSX", 0, -9, 1, 2, -6
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\next\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\page.tsx", "TypeScript JSX", 0, 120, 6, 10, 136
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\panasonic\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\philips\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\philips\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\profilo\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\profilo\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\regal\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\regal\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\[model]\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sunny\[model]\page.tsx", "TypeScript JSX", 0, -9, 1, 2, -6
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sunny\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\telefunken\[model]\page.tsx", "TypeScript JSX", 0, -10, 1, 2, -7
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\telefunken\page.tsx", "TypeScript JSX", 0, 7, 1, 4, 12
