"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "HTML", "TypeScript JSX", "Python", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\.github\prompts\kural.prompt.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 47, 114
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 8, 22, 273
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\admin2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 3, 11, 358
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\admin\admin2-user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3404, 0, 0, 0, 0, 123, 201, 3728
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\admin-users\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\admin2-log\route.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\blog-posts\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\brands\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\faq\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\messages\route.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\prices\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\quote\route.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 8, 60
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\services\route.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 3, 8, 63
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\services\screen-types\route.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\site-settings\route.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 3, 44
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\testimonials\route.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 3, 25, 115
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\tv-models\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\api\upload\route.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\aydinlatma-metni\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 2, 89
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
